"Lesson","Unit","Viewed"
"Duplicated Lesson","test unit","2016-12-29 08:13"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-29 07:47"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-26 15:54"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-26 08:15"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:07"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:05"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:05"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:04"
"A New York City Water Cycle","Unit 1: New York’s Urban Ecosystem","2016-12-22 19:03"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-22 19:03"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:03"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:02"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:01"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 19:01"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:58"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:58"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:56"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:56"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:56"
"Create a Tide Chart","Unit 5: Water Quality","2016-12-22 18:52"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-21 08:46"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-20 08:33"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-20 07:20"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-18 16:38"
"Can you Out-Filter an Oyster?","Unit 2: Oysters","2016-12-18 16:38"
"A New York City Water Cycle","Unit 1: New York’s Urban Ecosystem","2016-12-02 13:39"
"A New York City Water Cycle","Unit 1: New York’s Urban Ecosystem","2016-12-02 13:39"
"A New York City Water Cycle","Unit 1: New York’s Urban Ecosystem","2016-11-18 07:02"
"Create a Tide Chart","Unit 5: Water Quality","2016-11-12 06:57"
"Create a Tide Chart","Unit 5: Water Quality","2016-11-12 06:57"
"Create a Tide Chart","Unit 5: Water Quality","2016-11-12 06:51"