category,commonName,latinName,additionalTaxonomicInformation,firstInformation,speciesOrigin,habitat,diet,morphologyNotes,migration,citation
Molluscs,Oyster drill,Urosalpinx cinerea,"Class Gastropoda, Family Muricidae, rock snails",A small pale-colored shell with sharply pointed cone and parallel ridges around shell. Predator of oysters and mussels,Native - non-endemic,Found in shallow subtidal marine and estuarine regions in association with bivalve and barnacle beds,"Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water",A bivalve (two-shelled) mollusk with smooth outer shells with a glossy blue-black coloration. Size up to 3 cm in shell length,Resident,"Pollock, Marine Species Identification Portal"
Molluscs,Blue mussel,Mytilus edulis,"Class Bivalvia, Family Mytiliidae, mussels","Blue-black with two hinged shells that open to feed, found in clumps attached to hard intertidal and shallow substrata",Native - non-endemic,Found in the intertidal and shallow subtidal in clusters to rocky substrates or pier pilings. Individuals attach to the substrate using sticky byssal threads,"Mussels are filter feeders, ingesting bacteria, plankton and small detritus particles suspended in the water",A bivalve (two-shelled) mollusk with smooth outer shells with a glossy blue-black coloration. Size up to 3 cm in shell length,Resident,EOL
Molluscs,Ribbed mussel,Geukensia demissa,"Class Bivalvia, Family Mytiliidae, mussels",Green-brown bivalves found in muddy intertidal areas with ribs running the length of each shell,Native - non-endemic,Found in the intertidal zone of marine and brackish waters attached to marsh plants or rocky substrates or embedded in sediment,A filter feeder that ingests plankton and detritus from the water column,"The ribbed mussel has two long, oval-shaped shells colored green to brown, with distinct ribs running the length of each shell. The inner shell is often tinted purple. Size up to 10 cm in shell length.",Resident,EOL
Molluscs,Slipper snails,Crepidula spp. (Eastern slipper snail C. plana and Atlantic slipper snail C. fornicata),"Class Gastropoda, Family Calyptraeidae, slipper or boatsnails","Whitish single-shelled molluscs found in shallow nearshore habitats, with smooth, curved upper shells",Native - non-endemic,"Two species of small gastropod mollusk found in the low intertidal to subtidal associated with rocks, pier pilings and oyster beds",Graze on algae and detritus found on hard substrates,"Both species have a curved, smooth upper shell, rounder in C. fornicata, and a platform extending half way across the shell opening on the underside. The shell of C. plana is typically white to off-white, with the shell of C. fornicata showing darker color variations up to beige with brown markings. Size up to 30 mm in C. plana, up to 25 mm in C. fornicata.",Resident,Gosner
Molluscs,Eastern mudsnail,Ilyanassa obsoleta,"Class Gastropoda, Family Nassariidae, dog whelks",Brown to black cone-shaped spiraled shell found in large numbers in muddy habitats,Native - non-endemic,Abundant in intertidal estuarine areas with muddy substrates,"Feeds on algae, worms and detritus within the muddy sediment",The shell is whorled and cone-shaped with a brown to black coloration. Size up to 25 mm in shell length,Resident,"Gosner, Pollock"
Crustaceans,Northern rock barnacle,Semibalanus balanoides,"Infraclass Cirripedia, Superorder Thoracica, Order Sessilia, Suborder Balanomorpha, Superfamily Balanoidea, Family Archaeobalanidae","Barnacles with six broad and low whitish plates arranged in a ring around a central diamond-shaped plate. Cemented to hard substrata, usually found in clumps",Native - non-endemic,"Inhabits shallow intertidal and subtidal marine areas, cemented to hard substrata such as rocks and pier pilings","Barnacles are filter feeders, feeding on algae, zooplankton and detritus particles in the water column","Six broad calcium carbonate plates with a low overall profile and diamond-shaped opening covered by a calcium carbonate operculum. Soft parts between plates are white or pinkish. Like all barnacles, individuals are usually found in clusters as they prefer to settle near other barnacles out of the plankton. Up to 25 mm in width",Resident,"Pollock, EOL"
Crustaceans,Ivory barnacle,Amphibalanus eburneus,"Infraclass Cirripedia, Suborder Thoracica, Order Sessilia, Suborder Balanomorpha, Superfamily Balanoidea, Faily Balanidae, Subfamily Amphibalaninae","Barnacle with whitish plates forming a steep cone, with soft parts often colored or striped. Found in clumps on hard substrata",Native - non-endemic,"Found cemented to hard substrata such as rocks and pier pilings in the intertidal and shallow subtidal, preferring brackish waters","Barnacles are filter feeders, feeding on algae, zooplankton and detritus particles in the water column","The calcium carbonate plates forming the outer armor are form a steep cone. The soft parts in between plates may be striped in purple, yellow or off-white. Size is up to 25 mm in height and width",Resident,Pollock
Worms,Mud tube worm,Streblospio benedicti,"Class Polychaeta, Subclass Sedentaria, Order Spionida, Family Spionidae",Tube-dwelling reddish colored segmented worm up to 6 mm in length,Native - non-endemic,"In the Order Polychaeta (marine segmented worms). Lives in fine sandy and silty sediments, building tubes of sediment and mucus",Feeds on detritus on the sediment surface,"Head segment is cone-shaped with four eyes, one pair of tentacles and two pairs of gills. The remaining body segments each have one pair of parapodia - paddle-like appendages. Body coloration is a reddish brown, with dark green coloration around the gills. Size up to 6 mm in length",Resident,Gosner
Worms,Hard tube worms,"Family Serpulidae - serpulid worms, Subfamily Spirorbinae - spirorbid worms","Class Polychaeta, Subclass Sedentaria, Order Sabellida",Worms living inside small whitish hard tubes that are either coiled (spirorbid worms) or straight (serpulid worms),Native - non-endemic,"Found attached to hard substrata such as rocks, pier pilings and oyster shells.","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Construct hard, off-white tubes of calcium carbonate that are coiled (F. Spirorbidae) or largely straight or serpentine (F. Serpulidae). Tube length up to 30 mm in serpulids, up to 25 mm across in spirorbids ",Resident,Pollock

Worms,Tube-building polychaete,Polydora cornuta (formerly Polydora ligni),"Class Polychaeta, Subclass Sedentaria, Order Spionida, Family Spionidae",Bristled worm with two long frontal appendages living inside muddy tubes on sediment-covered surfaces,Native - origin uncertain,Builds mud-covered detrital tubes in the intertidal and shallow subtidal waters of estuaries. Naturally prefers muddy clay substrates and can be found on settlement tiles where sediment has accumulated,Feeds on small food particles on the sediment surface using their pair of long frontal palps.,"Segmented body around 1-2 cm long with chetae (bristles) on each segment. P. cornuta  may be difficult to observe outside their tubes, but their palps can sometimes be seen waving out of tiny holes in the sediment. ",Resident,"Gosner, Pollock"
Tunicates,"Golden star tunicate, star ascidian",Botryllus schlosseri,"Subphylum Tunicata, Class Ascidiacea, Order Stolidobranchia, Family Styelidae","A colonial tunicate that grows in a gelatinous sheet, rubbery to the touch, on hard surfaces. Zooids form a star-like patterns across the surface",Introduced - Mediterranean,"A colonial ascidian that grows as a gelatinous sheet with tiny individual modules, called zooids, embedded in a common tissue matrix. Found on hard substrata such as pier pilings, oyster cages, macroalgae and settlement tiles","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","The zooids are tear-drop shaped and very small (2-5 mm), arranged in star-shaped clusters that may contain up to 20 zooids. Coloration in this species is often striking but is also extremely variable, with the presence of star- or flower-like zooid patterning more useful for identification. Colony size is also variable, from a single zooid cluster to multiple clusters that can cover an entire settlement tile",Resident,"Gosner, Pollock"
Tunicates,Chain tunicate,Botrylloides violaceus,"Subphylum Tunicata, Class Ascidiacea, Order Stolidobranchia, Family Styelidae","A colonial animal that grows in a gelatinous sheet on hard surfaces, with zooids resembling meandering chains of tiny circles across the surface. Orange to brown in color, with zooids a single color. ",Introduced - Asian Pacific coast,"A colonial ascidian that grows as a gelatinous sheet with tiny individual modules, called zooids, embedded in a common tissue matrix. Found on hard substrata such as pier pilings, oyster cages, macroalgae and settlement tiles","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Individual zooids are a single color and oval- or tear drop-shaped, 1-2 mm long and arranged in elongated clusters called systems, within a firm, often clear matrix. Systems usually contain >10 zooids and form the shape of long ovals or meandering, occasionally branching, double-rows or chains. Colony size and shape are variable.",Resident,"Pollock, Exotics Guide, NEMESIS, WoRMS"
Tunicates,Orange sheath tunicate,Botrylloides diegensis,"Subphylum Tunicata, Class Ascidiacea, Order Stolidobranchia, Family Styelidae","A colonial animal that grows in a gelatinous sheet on hard surfaces, with oval-shaped zooids arranged in rows or dense clusters. Orange in color, with zooids two colors. ",Introduced - Asian Pacific coast,"A colonial ascidian that grows as a gelatinous sheet with tiny individual modules, called zooids, embedded in a common tissue matrix. Found on hard substrata such as pier pilings, oyster cages, macroalgae and settlement tiles","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Very similar to B. violaceus, particularly in color, B. diegensis also shows zooids that are oval in shape and arranged in rows or clusters. The individual zooids usually have two colors, with a bright ring around the oral aperture that is central to the zooid, in contrast to the position of the aperture in B. violaceus at the thick end of the 'tear drop' shape.",Resident,"Pollock, Exotics Guide, NEMESIS, WoRMS"
Tunicates,Sea grapes,Molgula manhattensis,"Subphylum Tunicata, Class Ascidiacea, Order Stolidobranchia, Family Molgulidae","Globular grey animals with two protruding siphons, commonly heavy foulers of oyster cages",Native - non-endemic,"Found attached to hard substrata such as rocky reefs, pier pilings, ropes and other artificial structures in shallow subtidal marine and brackish waters. Often found heavily encrusting oyster cages",M. manhattensis is a filter feeder on plankton and detritus,"Small, with a globular body with an inhalent and exhalent siphon on the upper side. The outer surface is usually a translucent grey to beige but is often encrusted with sediment and algae. Size up to 35 mm. ",Resident,"Gosner, Pollock"
Tunicates,Sea vase,Ciona intestinalis,"Subphylum Tunicata, Class Ascidiacea, Order Phlebobranchia, Family Cionidae","Translucent slender banana-shaped ascidian with small siphons at the end, occur in clumps",Introduced - origin uncertain,Found in shallow waters attached primarily to artificial hard surfaces. Can occur in large numbers,"Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Slender, translucent to pink/yellow colored bodies within which the branchial basket (digestive system) is usually visible. The two siphons are often tipped in yellow; incurrent siphons is longer, with 8 lobes, whereas outcurrent siphon is shorter with 6 lobes. Size variable but can be up to 20 cm in length",Resident,"Gosner, Pollock"
Tunicates,Sea squirt,Ascidiella aspersa,"Subphylum Tunicata, Class Ascidiacea, Order Phlebobranchia, Family Ascidiidae",Solitary ascidian similar to Molgula manhattensis but more oval in shape with conical siphons with colored edges. Body pale in color with a lumpy outer surface. ,Introduced - origin uncertain,"Found attached to hard substrata such as rocky reefs, pier pilings, ropes and other artificial structures in shallow subtidal marine and brackish waters. Often found heavily encrusting oyster cages","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Bodies are oval and often attached to substrate on one side. Two conical siphons with 6-8 lobes each; edges often colored, sometimes frilled. Translucent to pale yellow in color and with a lumpy outer surface. Size 50-100 mm in width.",Resident,WoRMS; EOL
Sponges,Boring sponges,Cliona spp. ,"Class Demospongiae, Order Clionaida, Family Clionaidae",A very small yellow sponge that bores into oyster and mussel shells,Native - non-endemic,"Sponges are found on hard substrates such as rocks, pier pilings and algae, with their boring habit meaning that their tissues become intertwined with the substrate","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ",Yellow in color,,"Gosner, Pollock"
Sponges,Red beard sponge,Clathria prolifera (formerly Microciona prolifera),"Class Demospongiae, Order Poecilosclerida, Family Microcionidae",Reddish sponge that encrusts hard substrates in shallow waters. Irritating to skin ��� do not handle directly!,Native - non-endemic,"Found in low intertidal to shallow subtidal waters in estuaries. Encrusts on hard substrates such as reefs and pier pilings, forming raised lobes or cups up to 200 mm tall in larger specimens and in deeper water","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Coloration is a rusty reddish orange to brown, with very small openings (oscula). ",Resident,"Gosner, Pollock"
Bryozoans,Lacy bryozoan,Membranipora membranacea,"Class Gymnolaemata, Order Cheilostomatida,  Superfamily Membraniporoidea, Family Membraniporidae",Colonies form thin whitish sheets with tiny box-like zooids in a lacy pattern,"Introduced - US west coast, Europe","Found encrusting a variety of subtidal surfaces, including rocks, pier pilings, shells and algae","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Colonies form thin whitish sheets of rectangular box-like units, termed zooids, which are very small (0.5 mm in length) and are arranged like bricks in a wall. Each zooid houses a fan-like feeding structure (the lophophore), which can be extended outside the zooid to capture particles in the water. Spines may be present on the zooid corners. Colony size and shape is variable according to its age and history",Resident,"Gosner, Pollock"
,,Conopeum spp. (C. tenuissium and C. seurati are very similar),"Class Gymnolaemata, Order Cheilostomatida, Superfamily Membraniporoidea, Family Electridae","Encrusting colonies form whitish sheets, with oval-shaped zooids",Introduced - US Gulf Coast ,Found encrusting hard surfaces such as rocks and mollusc shells,"Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Colonies form thin whitish sheets with tiny, oval-shaped zooids. Zooid size is around 0.5 mm in length and 0.25 mm in width. Where colonies have been disturbed by predators (e.g. nudibranchs), they may form up to 8 spines on the zooid periphery. Colony shape often resembles branching patterns across the substrate. ",Resident,"EB, Smithsonian Marine Station"
,,Watersipora subtorquata,"Class Gymnolaemata, Order Cheilostomatida, Superfamily Smittinoidea, Family Watersiporidae",Colonies may be encrusting or lobed with red-orange zooids,Introduced - origin uncertain,"Found encrusting hard surfaces such as rocks, pier pilings and shells as unilaminar sheets. More upright, lobed forms may be found in calm waters. ","Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Colonies form encrusting sheets on hard substrata such as rocks and pier pilings but may be more three-dimensional in large colonies in calm waters. Zooid size is around 1 mm long by 0.5 mm wide. Colonies are a reddish-orange color, with black zooid and operculum outlines. Dead zooids are black to grey.",Resident," EB, Exotics Guide"
,,Bugula neritina,"Class Gymnolaemata, Order Cheilostomatida, Superfamily Buguloidea, Family Bugulidae","Upright, tree-like bushy colonies, purple to brown",Introduced - origin uncertain,Found attached to hard substrates such as pier pilings and rocks as well as algae and shells ,"Filter feeders, ingesting microscopic algae, zooplankton and detritus particles from the water ","Colonies are upright, bushy and tree-like. Branches are two zooids wide, with bifurcations every four zooids in length. Zooids are 0.2-0.3 mm in width and 0.75-1.2 mm long and may also contain spherical whitish reproductive structures termed ovicells. When present, ovicells are usually abundant and concentrated towards the older, central part of the colony. Colonies often resemble algae but can be distinguished by looking for the modular structure. Coloration is purple to brown. ",Resident,"EB, Exotics Guide"
Cnidarians,Hydroids,Subclass Hydroidolina,Class Hydrozoa,"Tiny translucent colonies that may be feather-like, tree-like or form runners over the surface",Native - non-endemic,"A very large and complex group of cnidarian species that have a colonial life stage attached to substrata such as rocks, pier pilings, shells, algae, seagrass and other structures","Capture microscopic algae, zooplankton and detritus in the water","These animals have very small modular units, termed polyps, which may be arranged as elongate threads across a surface or as tree-like arborescent structures projecting vertically from the surface. Each polyp possesses stinging cells, termed nematocysts, to enable them to capture small prey. Colony size is usually small, up to a few cm across",Resident,"Gosner, Pollock, EOL"
Cnidarians,Frilled anemone,Metridium dianthum (formerly M. senile),"Class Anthozoa, Order Actinaria, Family Metridiidae",Solitary polyp attached to substrate with creamy yellow to brown coloration and many tentacles,Native - non-endemic,Found on hard substrata such as rocks and pier pilings in the intertidal and shallow subtidal. The most common anemone on the northeast coast.,Feed on live and dead animals from zooplankton through to fish. ,"Numerous, fine tentacles (up to 1000) in large, adult forms, with a lobed oral disk. Juveniles and smaller individuals have around 20-50 fine unbanded tentacles. Column is smooth and creamy yellow to broan. Size up to 10 cm tall by 8 wide in the subtidal, but smaller in the intertidal and along the shore",Resident,"Gosner, Pollock"
,Northern red animone,Urticina felina,"Class Anthozoa, Order Actinaria, Family Actiniidae","Solitary polyp attached to substrate with reddish coloration and short, banded tentacles",Native - non-endemic,"Found on lower intertidal shores on hard substrata such as rocks and pier pilings, as well as in gravel or shell debris. ",Feed on live and dead animals from zooplankton through to fish. ,"Column smooth and stout, around half as high as wide. Coloration varies from pinkish to deep wine red to purple, with short, blunt, banded tentacles. Overall width is 5-8 cm in intertidal individuals, larger (up to 10 cm wide) in deeper waters",Resident,"Gosner, Pollock"
